SISAIRE;;;;;;;;;;;;;;;;;
SABANA DE INFORMACIÓN DE SISAIRE;;;;;;;;;;;;;;;;;
Fecha de procesamiento :23/05/2026, 11:09:37 AM;;;;;;;;;;;;;;;;;
SECCION CONSULTA DE MEDICIONES;;;;;;;;;;;;;;;;;
REPORTE GENERADO ENTRE 2014-01-01 - 2026-03-31;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Estacion;Fecha inicial;Fecha final;PM2.5;;;;;;;;;;;;;;
KENNEDY;2026-03-31;;11.53478261;;;;;;;;;;;;;;
KENNEDY;2026-03-30;;11.1125;;;;;;;;;;;;;;
KENNEDY;2026-03-29;;24.90833333;;;;;;;;;;;;;;
KENNEDY;2026-03-28;;25.075;;;;;;;;;;;;;;
KENNEDY;2026-03-27;;34.4375;;;;;;;;;;;;;;
KENNEDY;2026-03-26;;39.325;;;;;;;;;;;;;;
KENNEDY;2026-03-25;;33.51666667;;;;;;;;;;;;;;
KENNEDY;2026-03-24;;26.94583333;;;;;;;;;;;;;;
KENNEDY;2026-03-23;;18.40833333;;;;;;;;;;;;;;
KENNEDY;2026-03-22;;13.69583333;;;;;;;;;;;;;;
KENNEDY;2026-03-21;;24.89583333;;;;;;;;;;;;;;
KENNEDY;2026-03-20;;23.83333333;;;;;;;;;;;;;;
KENNEDY;2026-03-19;;15.65416667;;;;;;;;;;;;;;
KENNEDY;2026-03-18;;21.2375;;;;;;;;;;;;;;
KENNEDY;2026-03-17;;26.07083333;;;;;;;;;;;;;;
KENNEDY;2026-03-16;;23.91666667;;;;;;;;;;;;;;
KENNEDY;2026-03-15;;19.15;;;;;;;;;;;;;;
KENNEDY;2026-03-14;;24.76666667;;;;;;;;;;;;;;
KENNEDY;2026-03-13;;21.19166667;;;;;;;;;;;;;;
KENNEDY;2026-03-12;;19.49583333;;;;;;;;;;;;;;
KENNEDY;2026-03-11;;21.75416667;;;;;;;;;;;;;;
KENNEDY;2026-03-10;;26.95;;;;;;;;;;;;;;
KENNEDY;2026-03-09;;23.36666667;;;;;;;;;;;;;;
KENNEDY;2026-03-08;;24.0;;;;;;;;;;;;;;
KENNEDY;2026-03-07;;23.86666667;;;;;;;;;;;;;;
KENNEDY;2026-03-06;;22.94166667;;;;;;;;;;;;;;
KENNEDY;2026-03-05;;39.84583333;;;;;;;;;;;;;;
KENNEDY;2026-03-04;;39.46363636;;;;;;;;;;;;;;
KENNEDY;2026-03-03;;25.89;;;;;;;;;;;;;;
KENNEDY;2026-03-02;;27.12083333;;;;;;;;;;;;;;
KENNEDY;2026-03-01;;20.125;;;;;;;;;;;;;;
KENNEDY;2026-02-28;;30.86086957;;;;;;;;;;;;;;
KENNEDY;2026-02-27;;26.58333333;;;;;;;;;;;;;;
KENNEDY;2026-02-26;;26.6;;;;;;;;;;;;;;
KENNEDY;2026-02-25;;17.55;;;;;;;;;;;;;;
KENNEDY;2026-02-24;;18.90416667;;;;;;;;;;;;;;
KENNEDY;2026-02-23;;19.74761905;;;;;;;;;;;;;;
KENNEDY;2026-02-22;;15.58333333;;;;;;;;;;;;;;
KENNEDY;2026-02-21;;16.47083333;;;;;;;;;;;;;;
KENNEDY;2026-02-20;;13.53333333;;;;;;;;;;;;;;
KENNEDY;2026-02-19;;11.84210526;;;;;;;;;;;;;;
KENNEDY;2026-02-18;;11.31666667;;;;;;;;;;;;;;
KENNEDY;2026-02-17;;6.68;;;;;;;;;;;;;;
KENNEDY;2026-02-15;;24.5;;;;;;;;;;;;;;
KENNEDY;2026-02-14;;27.18333333;;;;;;;;;;;;;;
KENNEDY;2026-02-13;;20.78333333;;;;;;;;;;;;;;
KENNEDY;2026-02-12;;27.21666667;;;;;;;;;;;;;;
KENNEDY;2026-02-11;;26.77083333;;;;;;;;;;;;;;
KENNEDY;2026-02-10;;30.43333333;;;;;;;;;;;;;;
KENNEDY;2026-02-09;;17.06956522;;;;;;;;;;;;;;
KENNEDY;2026-02-08;;15.66666667;;;;;;;;;;;;;;
KENNEDY;2026-02-07;;24.19166667;;;;;;;;;;;;;;
KENNEDY;2026-02-06;;22.95;;;;;;;;;;;;;;
KENNEDY;2026-02-05;;22.1375;;;;;;;;;;;;;;
KENNEDY;2026-02-04;;16.74583333;;;;;;;;;;;;;;
KENNEDY;2026-02-03;;23.775;;;;;;;;;;;;;;
KENNEDY;2026-01-02;;10.14583333;;;;;;;;;;;;;;
KENNEDY;2026-01-01;;24.71666667;;;;;;;;;;;;;;
KENNEDY;2025-12-31;;7.3173913;;;;;;;;;;;;;;
KENNEDY;2025-12-30;;10.76521739;;;;;;;;;;;;;;
KENNEDY;2025-12-29;;16.39166667;;;;;;;;;;;;;;
KENNEDY;2025-12-28;;11.6875;;;;;;;;;;;;;;
KENNEDY;2025-12-27;;15.8125;;;;;;;;;;;;;;
KENNEDY;2025-12-26;;15.79583333;;;;;;;;;;;;;;
KENNEDY;2025-12-25;;23.325;;;;;;;;;;;;;;
KENNEDY;2025-12-24;;18.9625;;;;;;;;;;;;;;
KENNEDY;2025-12-23;;24.63684211;;;;;;;;;;;;;;
KENNEDY;2025-12-22;;20.1;;;;;;;;;;;;;;
KENNEDY;2025-12-21;;15.54583333;;;;;;;;;;;;;;
KENNEDY;2025-12-20;;21.29583333;;;;;;;;;;;;;;
KENNEDY;2025-12-19;;20.0875;;;;;;;;;;;;;;
KENNEDY;2025-12-18;;33.91666667;;;;;;;;;;;;;;
KENNEDY;2025-12-17;;27.45833333;;;;;;;;;;;;;;
KENNEDY;2025-12-16;;30.8047619;;;;;;;;;;;;;;
KENNEDY;2025-12-15;;27.3125;;;;;;;;;;;;;;
KENNEDY;2025-12-14;;19.6;;;;;;;;;;;;;;
KENNEDY;2025-12-13;;17.42083333;;;;;;;;;;;;;;
KENNEDY;2025-12-12;;16.2;;;;;;;;;;;;;;
KENNEDY;2025-12-11;;14.60416667;;;;;;;;;;;;;;
KENNEDY;2025-12-10;;17.55833333;;;;;;;;;;;;;;
KENNEDY;2025-12-09;;23.13333333;;;;;;;;;;;;;;
KENNEDY;2025-12-08;;38.0875;;;;;;;;;;;;;;
KENNEDY;2025-12-07;;25.59166667;;;;;;;;;;;;;;
KENNEDY;2025-12-06;;24.90416667;;;;;;;;;;;;;;
KENNEDY;2025-12-05;;19.57083333;;;;;;;;;;;;;;
KENNEDY;2025-12-04;;18.34166667;;;;;;;;;;;;;;
