Fecha;Precipitacion (mm) 
1/01/1990;46
1/02/1990;87
1/03/1990;94
1/04/1990;199
1/05/1990;129
1/06/1990;66
1/07/1990;79
1/08/1990;49
1/09/1990;80
1/10/1990;237
1/11/1990;133
1/12/1990;125
1/01/1991;33
1/02/1991;35
1/03/1991;179
1/04/1991;164
1/05/1991;134
1/06/1991;92
1/07/1991;93
1/08/1991;74
1/09/1991;106
1/10/1991;93
1/11/1991;132
1/12/1991;80
1/01/1992;27
1/02/1992;28
1/03/1992;56
1/04/1992;92
1/05/1992;77
1/06/1992;61
1/07/1992;74
1/08/1992;63
1/09/1992;99
1/10/1992;76
1/11/1992;162
1/12/1992;83
1/01/1993;55
1/02/1993;57
1/03/1993;118
1/04/1993;187
1/05/1993;151
1/06/1993;64
1/07/1993;115
1/08/1993;53
1/09/1993;139
1/10/1993;146
1/11/1993;208
1/12/1993;61
1/01/1994;58
1/02/1994;75
1/03/1994;143
1/04/1994;156
1/05/1994;135
1/06/1994;89
1/07/1994;86
1/08/1994;62
1/09/1994;98
1/10/1994;198
1/11/1994;202
1/12/1994;37
1/01/1995;27
1/02/1995;36
1/03/1995;111
1/04/1995;175
1/05/1995;163
1/06/1995;153
1/07/1995;123
1/08/1995;106
1/09/1995;109
1/10/1995;165
1/11/1995;127
1/12/1995;100
1/01/1996;42
1/02/1996;96
1/03/1996;117
1/04/1996;136
1/05/1996;163
1/06/1996;127
1/07/1996;129
1/08/1996;85
1/09/1996;90
1/10/1996;189
1/11/1996;139
1/12/1996;74
1/01/1997;103
1/02/1997;40
1/03/1997;76
1/04/1997;127
1/05/1997;95
1/06/1997;163
1/07/1997;55
1/08/1997;33
1/09/1997;99
1/10/1997;106
1/11/1997;96
1/12/1997;15
1/01/1998;16
1/02/1998;65
1/03/1998;92
1/04/1998;157
1/05/1998;188
1/06/1998;114
1/07/1998;147
1/08/1998;97
1/09/1998;156
1/10/1998;201
1/11/1998;152
1/12/1998;136
1/01/1999;61
1/02/1999;141
1/03/1999;95
1/04/1999;154
1/05/1999;107
1/06/1999;195
1/07/1999;63
1/08/1999;91
1/09/1999;177
1/10/1999;267
1/11/1999;163
