Fecha;Temperatura maxima (C)
1/01/1990;19,9
1/02/1990;18,8
1/03/1990;19,6
1/04/1990;19,1
1/05/1990;18,8
1/06/1990;18,6
1/07/1990;18,2
1/08/1990;18,8
1/09/1990;19,9
1/10/1990;18,6
1/11/1990;19,2
1/12/1990;19,1
1/01/1991;20,7
1/02/1991;20,8
1/03/1991;19,8
1/04/1991;19,6
1/05/1991;18,9
1/06/1991;18,7
1/07/1991;17,5
1/08/1991;17,8
1/09/1991;19,2
1/10/1991;19,3
1/11/1991;19,1
1/12/1991;19,7
1/01/1992;20,9
1/02/1992;20,7
1/03/1992;22
1/04/1992;20,5
1/05/1992;19,9
1/06/1992;19
1/07/1992;17,4
1/08/1992;18,3
1/09/1992;19,5
1/10/1992;19,3
1/11/1992;19,2
1/12/1992;19,4
1/01/1993;20,1
1/02/1993;20
1/03/1993;20,5
1/04/1993;19,9
1/05/1993;18,8
1/06/1993;19
1/07/1993;18,4
1/08/1993;19,2
1/09/1993;19,1
1/10/1993;19,7
1/11/1993;19,3
1/12/1993;20,4
1/01/1994;20,1
1/02/1994;20,5
1/03/1994;20
1/04/1994;19,7
1/05/1994;18,8
1/06/1994;18,9
1/07/1994;18
1/08/1994;18,4
1/09/1994;19,4
1/10/1994;18,5
1/11/1994;19
1/12/1994;19,7
1/01/1995;21
1/02/1995;21
1/03/1995;20,5
1/04/1995;19,8
1/05/1995;19,5
1/06/1995;18,9
1/07/1995;18
1/08/1995;18,2
1/09/1995;20,1
1/10/1995;19
1/11/1995;19,6
1/12/1995;19,7
1/01/1996;20
1/02/1996;18,7
1/03/1996;18,1
1/04/1996;17,4
1/05/1996;18,5
1/06/1996;17,7
1/07/1996;16,6
1/08/1996;17
1/09/1996;19,1
1/10/1996;17,1
1/11/1996;16,7
1/12/1996;18,2
1/01/1997;18,1
1/02/1997;18,5
1/03/1997;18,5
1/04/1997;18
1/05/1997;17,9
1/06/1997;16,9
1/07/1997;19,1
1/08/1997;19,6
1/09/1997;17,5
1/10/1997;17,7
1/11/1997;17,6
1/12/1997;18,5
